Fund,Full Fund Name,2023-02-24,2023-02-17,2023-02-10,2023-02-03,2023-01-27,2023-01-20,2023-01-13,2023-01-06,2022-12-30,2022-12-23,2022-12-16,2022-12-09,2022-12-02,2022-11-25,2022-11-18,2022-11-11,2022-11-04,2022-10-28,2022-10-21,2022-10-14,2022-10-07,2022-09-30,2022-09-23,2022-09-16
AOY,AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU,0.176,0.181,0.184,0.194,0.186,0.182,0.189,0.171,0.174,0.176,0.185,0.181,0.187,0.19,0.186,0.182,0.164,0.165,0.15,0.15,0.163,0.159,0.169,0.184
AFO,AK PORTFÖY ALTIN FONU,0.245,0.246,0.251,0.259,0.256,0.255,0.251,0.248,0.243,0.243,0.238,0.239,0.236,0.233,0.235,0.227,0.217,0.222,0.217,0.223,0.229,0.219,0.219,0.22
PAL,AK PORTFÖY ALTINCI SERBEST(DÖVİZ) FON,19.585,19.546,19.51,19.475,19.454,19.427,19.398,19.367,19.317,19.263,19.223,19.211,19.195,19.179,19.162,19.139,19.15,19.133,19.1,19.089,19.076,19.014,18.838,18.734
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,0.259,0.265,0.264,0.271,0.26,0.247,0.251,0.236,0.238,0.236,0.242,0.246,0.255,0.251,0.247,0.247,0.231,0.238,0.229,0.229,0.236,0.227,0.232,0.242
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,0.157,0.159,0.158,0.159,0.158,0.156,0.155,0.149,0.147,0.146,0.146,0.146,0.147,0.145,0.141,0.136,0.128,0.13,0.124,0.12,0.125,0.118,0.122,0.127
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.285,0.286,0.257,0.263,0.298,0.307,0.289,0.313,0.349,0.352,0.334,0.293,0.312,0.307,0.275,0.271,0.251,0.265,0.274,0.231,0.231,0.209,0.22,0.252
APJ,AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU,2.435,2.426,2.416,2.41,2.402,2.393,2.381,2.373,2.36,2.351,2.342,2.332,2.324,2.313,2.302,2.293,2.28,2.272,2.262,2.251,2.253,2.223,2.226,2.226
AKU,AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.304,0.305,0.272,0.287,0.313,0.323,0.298,0.308,0.323,0.316,0.301,0.285,0.294,0.283,0.262,0.262,0.24,0.233,0.232,0.212,0.214,0.191,0.199,0.202
ARL,AK PORTFÖY BİRİNCİ FON SEPETİ FONU,3.811,3.804,3.772,3.811,3.85,3.852,3.798,3.81,3.826,3.816,3.794,3.759,3.758,3.705,3.666,3.598,3.539,3.53,3.488,3.468,3.478,3.415,3.427,3.435
PUC,AK PORTFÖY BİRİNCİ KISA VADELİ SERBEST (TL)  FON,1.835,1.827,1.82,1.813,1.805,1.798,1.791,1.784,1.777,1.77,1.763,1.757,1.751,1.744,1.738,1.731,1.725,1.719,1.712,1.706,1.699,1.693,1.686,1.68
ALC,AK PORTFÖY BİST TEMETTÜ 25 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.092,0.092,0.084,0.086,0.093,0.095,0.089,0.093,0.098,0.094,0.09,0.086,0.09,0.087,0.079,0.081,0.074,0.071,0.071,0.066,0.067,0.062,0.065,0.065
BUY,AK PORTFÖY BÜYÜYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VAY,AK PORTFÖY DEĞER ODAKLI 100 ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ADE,AK PORTFÖY DEĞİŞKEN FON,0.265,0.264,0.263,0.262,0.261,0.259,0.258,0.257,0.256,0.255,0.254,0.253,0.252,0.251,0.25,0.249,0.248,0.247,0.246,0.245,0.244,0.243,0.243,0.242
DTZ,AK PORTFÖY DÖNÜŞTÜRÜCÜ TEKNOLOJİLER DEĞİŞKEN FON,1.341,1.358,1.341,1.401,1.359,1.313,1.293,1.241,1.256,1.24,1.283,1.264,1.312,1.267,1.232,1.196,1.109,1.111,1.068,1.051,1.11,1.048,1.062,1.115
VCY,AK PORTFÖY ELEKTRİKLİ VE OTONOM ARAÇ TEKNOLOJİLERİ DEĞİŞKEN FON,1.254,1.273,1.245,1.292,1.235,1.173,1.172,1.106,1.113,1.113,1.151,1.163,1.199,1.158,1.123,1.111,1.039,1.051,1.014,1.011,1.077,1.026,1.094,1.152
AKE,AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU,0.156,0.156,0.157,0.158,0.157,0.157,0.157,0.157,0.157,0.157,0.157,0.156,0.156,0.154,0.153,0.152,0.15,0.148,0.146,0.145,0.145,0.144,0.144,0.144
